Category,Description,Nutrient_Bank_Number,Alpha_Carotene,Beta_Carotene,Beta_Cryptoxanthin,Carbohydrate,Cholesterol,Choline,Fiber,Lutein_and_Zeaxanthin,Lycopene,Niacin,Protein,Retinol,Riboflavin,Selenium,Sugar_Total,Thiamin,Water,Fat_Monosaturated_Fat,Fat_Polysaturated_Fat,Fat_Saturated_Fat,Fat_Total_Lipid,Major_Minerals_Calcium,Major_Minerals_Copper,Major_Minerals_Iron,Major_Minerals_Magnesium,Major_Minerals_Phosphorus,Major_Minerals_Potassium,Major_Minerals_Sodium,Major_Minerals_Zinc,Vitamins_Vitamin_A__RAE,Vitamins_Vitamin_B12,Vitamins_Vitamin_B6,Vitamins_Vitamin_C,Vitamins_Vitamin_E,Vitamins_Vitamin_K
Collards,"Collards, frozen, cooked with oil",72107230,123,6600,27,6.87,0,43.7,2.7,10550,0,0.615,2.88,0,0.111,1.5,0.55,0.045,85.64,1.236,1.4,0.455,3.3,203,0.053,1.09,29,26,243,161,0.26,557,0,0.11,25.6,1.55,606.7
Collards,"Collards, frozen, cooked with butter or margarine",72107231,123,6610,27,6.88,4,44.1,2.7,10550,0,0.616,2.89,21,0.112,1.5,0.55,0.046,86.3,0.667,0.558,1.103,2.57,204,0.053,1.08,29,27,244,180,0.26,578,0,0.143,25.6,1.46,604.6
Popcorn,"Popcorn, popped in oil, unbuttered",54403045,46,70,0,57.87,0,15.9,10,1083,0,1.544,8.96,0,0.139,7.3,0.54,0.129,2.79,8.257,13.466,5.03,27.99,10,0.22,2.77,108,249,224,157,2.63,8,0,0.209,0.3,2.42,4.3
Popcorn,"Popcorn, microwave, low sodium",54403054,46,69,0,57.64,0,15.9,9.9,1078,0,1.538,8.93,0,0.139,7.2,0.54,0.129,2.78,8.224,13.413,5.01,27.88,10,0.219,2.76,107,248,223,310,2.62,8,0,0.208,0.3,2.41,4.3
Popcorn,"Popcorn, microwave, unsalted",54403055,46,69,0,57.64,0,15.9,9.9,1078,0,1.538,8.93,0,0.139,7.2,0.54,0.129,2.78,8.224,13.413,5.01,27.88,10,0.219,2.76,107,248,223,310,2.62,8,0,0.208,0.3,2.41,4.3
Spinach salad,"Spinach salad, no dressing",75147000,0,4055,2,2.97,86,82.2,1.6,8861,0,1.244,7.02,32,0.261,10.7,0.54,0.108,83.25,1.924,0.833,1.549,4.91,83,0.104,2.27,61,98,462,197,0.81,370,0.31,0.202,20.2,1.71,347.9
Olives,"Olives, green",75510010,0,231,9,3.84,0,14.2,3.3,510,0,0.237,1.03,0,0.007,0.9,0.54,0.021,75.28,11.314,1.307,2.029,15.32,52,0.12,0.49,11,4,42,1556,0.04,20,0,0.031,0,3.81,1.4
Cheese fondue,Cheese fondue,14630100,0,31,1,1.93,68,10.6,0,3,0,0.157,19.31,186,0.204,15.4,0.53,0.03,55.05,5.788,0.966,12.415,21.2,639,0.032,0.3,27,401,85,303,2.8,188,1.09,0.053,0,0.3,1.4
Turnip greens,"Turnip greens, fresh, cooked, no added fat",72128211,0,4561,0,4.35,0,0.3,3.5,8415,0,0.41,1.14,0,0.072,0.9,0.53,0.045,92.92,0.015,0.091,0.053,0.23,137,0.252,0.8,22,29,202,145,0.14,380,0,0.179,27.3,1.87,366.5
Cheese,"Cheese, Colby",14104200,0,82,0,2.57,95,15.4,0,0,0,0.093,23.76,257,0.375,14.5,0.52,0.015,38.2,9.28,0.953,20.218,32.11,685,0.042,0.76,26,457,127,604,3.07,264,0.83,0.079,0,0.28,2.7
Egg,"Egg, yolk only, cooked, NS as to fat",31111000,35,93,31,3.36,1015,612,0,1020,0,0.021,14.8,369,0.469,52.2,0.52,0.131,49.49,13.033,5.659,10.521,30.43,121,0.072,2.55,5,364,102,175,2.14,379,1.46,0.347,0,3.07,5.9
Egg,"Egg, yolk only, cooked, fat added",31111020,35,93,31,3.36,1015,612,0,1020,0,0.021,14.8,369,0.469,52.2,0.52,0.131,49.49,13.033,5.659,10.521,30.43,121,0.072,2.55,5,364,102,175,2.14,379,1.46,0.347,0,3.07,5.9
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with meat and dark-green vegetables, no added fat",32130840,1,535,7,1.35,303,195.9,0.3,1571,0,0.673,12.04,129,0.385,27.1,0.52,0.06,75.98,3.523,1.804,2.968,9.06,57,0.079,1.77,20,184,204,302,1.28,173,0.63,0.182,3.9,1.1,49.9
Beet greens,"Beet greens, cooked",72101220,3,3757,0,4.51,2,0.7,3.9,1486,0,0.396,2.3,11,0.218,0.9,0.52,0.094,87.57,1.029,0.881,0.796,2.86,122,0.199,2.68,73,43,794,366,0.4,324,0,0.122,21.9,1.88,418.9
Cheese,"Cheese, Brick",14102010,0,76,0,2.79,94,15.4,0,0,0,0.118,23.24,286,0.351,14.5,0.51,0.014,41.11,8.598,0.784,18.764,29.68,674,0.024,0.43,24,451,136,560,2.6,292,1.26,0.065,0,0.26,2.5
Cheese,"Cheese, Colby Jack",14104250,0,80,0,1.62,92,15.4,0,0,0,0.093,24.12,224,0.382,14.5,0.51,0.015,39.6,9.016,0.926,19.642,31.2,716,0.037,0.74,26,450,104,602,3.04,231,0.83,0.079,0,0.27,2.6
Clam cake or patty,Clam cake or patty,27250210,0,1,1,6.77,77,105.5,0.2,51,0,0.583,19.04,118,0.101,39.9,0.51,0.047,55.75,4.446,7.362,2.509,15.31,59,0.081,2.25,26,261,477,410,0.79,118,11.38,0.037,0.3,1.85,24
Spinach,"Spinach, frozen, cooked, no added fat",72125212,0,7215,0,4.79,0,24.7,3.7,15643,0,0.438,4,0,0.175,5.5,0.51,0.078,88.68,0,0.37,0.157,0.87,153,0.161,1.95,82,50,301,212,0.49,601,0,0.136,2.2,3.53,539.1
Turrnip greens,"Turrnip greens, NS as to form, cooked",72128220,0,4434,0,4.23,2,0.5,3.4,8170,0,0.398,1.11,10,0.07,0.9,0.51,0.044,90.55,0.947,0.863,0.772,2.76,133,0.245,0.78,21,28,197,150,0.14,380,0,0.191,26.5,2.12,358.2
Turnip greens,"Turnip greens, fresh, cooked, fat added",72128221,0,4434,0,4.23,2,0.5,3.4,8170,0,0.398,1.11,10,0.07,0.9,0.51,0.044,90.55,0.947,0.863,0.772,2.76,133,0.245,0.78,21,28,197,150,0.14,380,0,0.191,26.5,2.12,358.2
Cheese,"Cheese, Blue or Roquefort",14101010,0,74,0,2.34,75,15.4,0,0,0,1.016,21.4,192,0.382,14.5,0.5,0.029,42.41,7.778,0.8,18.669,28.74,528,0.04,0.31,23,387,256,1146,2.66,198,1.22,0.166,0,0.25,2.4
Cheese,"Cheese, Monterey",14106200,0,78,0,0.68,89,15.4,0,0,0,0.093,24.48,192,0.39,14.5,0.5,0.015,41.01,8.751,0.899,19.066,30.28,746,0.032,0.72,27,444,81,600,3,198,0.83,0.079,0,0.26,2.5
Soy sauce,"Soy sauce, reduced sodium",41420350,0,0,0,5.59,0,30.8,0.7,0,0,1.14,9.05,0,0.24,0.5,0.5,0.04,75.14,0.042,0.138,0.035,0.3,30,0.049,1.35,69,166,352,3598,0.79,0,0,0.16,0,0.41,0
Meat substitute,"Meat substitute, cereal- and vegetable protein-based, fried",59003000,0,3,0,61.87,0,27.8,9,150,0,3.688,11.28,0,0.138,49.8,0.5,0.303,17.58,2.326,3.011,1.035,7.04,60,0.361,4.03,152,296,368,282,2.41,0,0,0.315,0,1.4,8.6
Beet greens,"Beet greens, raw",72101100,3,3794,0,4.33,0,0.4,3.7,1503,0,0.4,2.2,0,0.22,0.9,0.5,0.1,91.02,0.026,0.046,0.02,0.13,117,0.191,2.57,70,41,762,226,0.38,316,0,0.106,30,1.5,400
Spinach,"Spinach, frozen, cooked with butter or margarine",72125225,0,7016,0,4.66,4,24.5,3.6,15189,0,0.426,3.9,21,0.171,5.3,0.5,0.076,86.76,0.648,0.713,1.196,3.01,149,0.156,1.9,79,49,293,226,0.48,605,0,0.164,2.1,3.68,524.7
Cheese,"Cheese, Limburger",14106010,0,15,0,0.49,90,15.4,0,0,0,0.158,20.05,339,0.503,14.5,0.49,0.08,48.42,8.606,0.495,16.746,27.25,497,0.021,0.13,21,393,128,800,2.1,340,1.04,0.086,0,0.23,2.3
Cheese,"Cheese, Cheddar, reduced sodium",14110010,0,84,0,1.91,100,15.4,0,0,0,0.086,24.35,257,0.375,14.5,0.49,0.021,38.98,9.189,0.972,20.768,32.62,703,0.036,0.72,27,484,112,21,3.09,264,0.83,0.076,0,0.28,2.7
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with meat and dark-green vegetables, fat added",32130830,1,515,7,1.28,290,186,0.3,1488,0,0.639,11.42,141,0.366,25.7,0.49,0.057,72.56,5.035,3.121,4.124,13.2,55,0.075,1.68,19,175,193,304,1.21,184,0.6,0.202,3.7,1.58,51.5
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with meat and dark-green vegetables, NS as to fat",32130850,1,515,7,1.28,290,186,0.3,1488,0,0.639,11.42,141,0.366,25.7,0.49,0.057,72.56,5.035,3.121,4.124,13.2,55,0.075,1.68,19,175,193,304,1.21,184,0.6,0.202,3.7,1.58,51.5
Tahini,Tahini,43103300,0,40,0,21.19,0,25.8,9.3,0,0,5.45,17,0,0.473,34.4,0.49,1.22,3.05,20.302,23.564,7.529,53.76,426,1.61,8.95,95,732,414,115,4.62,3,0,0.149,0,0.25,0
Collards,"Collards, fresh, cooked, no added fat",72107211,14,3046,29,5.81,0,24.9,4.3,4403,0,0.756,3.24,0,0.132,1.4,0.49,0.052,88.55,0.032,0.215,0.059,0.65,249,0.049,0.5,29,27,228,143,0.22,256,0,0.168,26.5,2.42,468.6
Spinach,"Spinach, fresh, cooked, no added fat",72125211,0,6269,0,4.26,0,22.6,2.6,13592,0,0.807,3.36,0,0.211,1.2,0.49,0.082,89.56,0.012,0.194,0.074,0.46,116,0.152,3.18,93,57,655,229,0.62,523,0,0.217,23.1,2.38,566.4
Spinach,"Spinach, frozen, cooked, fat added, NS as to fat type",72125222,0,7011,0,4.65,2,24.2,3.6,15189,0,0.425,3.89,10,0.171,5.3,0.49,0.076,86.43,0.932,1.134,0.873,3.38,149,0.156,1.9,79,49,293,216,0.48,594,0,0.148,2.1,3.72,525.8
Spinach,"Spinach, frozen, cooked with oil",72125224,0,7006,0,4.65,0,24,3.6,15189,0,0.425,3.88,0,0.17,5.3,0.49,0.076,86.1,1.216,1.555,0.549,3.75,148,0.156,1.9,79,48,292,206,0.47,584,0,0.132,2.1,3.77,526.8
Spinach,"Spinach, cooked, as ingredient",99997210,0,6288,0,4.27,0,22.7,2.6,13633,0,0.809,3.36,0,0.211,1.2,0.49,0.083,89.88,0.012,0.194,0.074,0.46,116,0.153,3.19,93,58,656,93,0.62,524,0,0.218,23.1,2.39,568.1
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with dark-green vegetables, no added fat",32130440,1,581,8,1.32,323,206.4,0.3,1707,0,0.149,11.28,139,0.399,26.8,0.48,0.038,77.71,3.175,1.678,2.721,8.3,61,0.078,1.83,20,179,189,233,1.19,187,0.62,0.166,4.2,1.15,54.1
Sesame seeds,Sesame seeds,43103000,0,40,0,11.73,0,25.6,11.6,0,0,5.8,20.45,0,0.09,34.4,0.48,0.699,3.75,23.924,25.491,9.055,61.21,60,1.4,6.36,345,667,370,47,6.73,3,0,0.4,0,1.68,0
Collards,"Collards, NS as to form, cooked",72107220,14,2963,28,5.65,2,24.4,4.2,4275,0,0.734,3.15,11,0.129,1.4,0.48,0.051,86.12,1.033,1.043,0.832,3.36,242,0.048,0.49,28,26,222,149,0.22,260,0,0.181,25.7,2.67,457.5
Collards,"Collards, fresh, cooked, fat added, NS as to fat type",72107221,14,2963,28,5.65,2,24.4,4.2,4275,0,0.734,3.15,11,0.129,1.4,0.48,0.051,86.12,1.033,1.043,0.832,3.36,242,0.048,0.49,28,26,222,149,0.22,260,0,0.181,25.7,2.67,457.5
Collards,"Collards, fresh, cooked with oil",72107227,14,2958,28,5.64,0,24.2,4.2,4275,0,0.734,3.14,0,0.129,1.4,0.48,0.051,85.76,1.339,1.495,0.484,3.76,242,0.048,0.49,28,26,222,139,0.22,248,0,0.163,25.7,2.72,458.7
Collards,"Collards, fresh, cooked with butter or margarine",72107228,14,2968,28,5.65,4,24.6,4.2,4275,0,0.735,3.16,22,0.13,1.4,0.48,0.051,86.47,0.728,0.59,1.18,2.97,242,0.048,0.49,28,27,223,159,0.22,271,0,0.198,25.7,2.62,456.4
Spinach,"Spinach, fresh, cooked with oil",72125217,0,6087,0,4.13,0,22,2.5,13198,0,0.783,3.26,0,0.204,1.1,0.48,0.08,86.45,1.442,1.595,0.539,3.86,113,0.148,3.09,90,56,636,222,0.6,507,0,0.211,22.4,2.71,554
Spinach,"Spinach, fresh, cooked with butter or margarine",72125218,0,6099,0,4.15,4,22.5,2.5,13198,0,0.784,3.28,24,0.206,1.2,0.48,0.08,87.22,0.773,0.605,1.301,3,114,0.148,3.09,90,56,636,245,0.6,533,0,0.25,22.4,2.61,551.5
Spinach,"Spinach, NS as to form, cooked",72125220,0,6093,0,4.14,2,22.3,2.5,13198,0,0.784,3.27,12,0.205,1.1,0.48,0.08,86.84,1.108,1.1,0.92,3.43,113,0.148,3.09,90,56,636,234,0.6,520,0,0.23,22.4,2.66,552.7
Spinach,"Spinach, fresh, cooked, fat added, NS as to fat type",72125221,0,6093,0,4.14,2,22.3,2.5,13198,0,0.784,3.27,12,0.205,1.1,0.48,0.08,86.84,1.108,1.1,0.92,3.43,113,0.148,3.09,90,56,636,234,0.6,520,0,0.23,22.4,2.66,552.7
Lettuce,"Lettuce, Boston, raw",75113060,0,4495,0,2.26,0,11.8,0.9,1724,0,0.321,1.33,0,0.077,1.5,0.48,0.064,95.64,0.009,0.115,0.028,0.22,33,0.028,1.2,12,28,187,25,0.2,375,0,0.1,3.7,0.15,140.3
Cheese,"Cheese, Camembert",14103010,0,12,0,0.46,72,15.4,0,0,0,0.63,19.8,240,0.488,14.5,0.46,0.028,51.8,7.023,0.724,15.259,24.26,388,0.021,0.33,20,347,187,842,2.38,241,1.3,0.227,0,0.21,2
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with dark-green vegetables, fat added",32130430,1,557,7,1.26,308,195.1,0.3,1609,0,0.142,10.65,151,0.377,25.3,0.46,0.036,73.91,4.83,3.11,3.986,12.82,58,0.074,1.73,18,169,179,239,1.12,198,0.58,0.189,4,1.66,55.7
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with dark-green vegetables, NS as to fat",32130450,1,557,7,1.26,308,195.1,0.3,1609,0,0.142,10.65,151,0.377,25.3,0.46,0.036,73.91,4.83,3.11,3.986,12.82,58,0.074,1.73,18,169,179,239,1.12,198,0.58,0.189,4,1.66,55.7
Collards,"Collards, raw",72107100,14,2991,28,5.42,0,23.2,4,4323,0,0.742,3.02,0,0.13,1.3,0.46,0.054,89.62,0.03,0.201,0.055,0.61,232,0.046,0.47,27,25,213,17,0.21,251,0,0.165,35.3,2.26,437.1
Hollandaise sauce,Hollandaise sauce,81302010,11,121,10,1.8,454,208.6,0,330,0,0.04,5.3,514,0.157,17.4,0.46,0.048,34.63,16.135,3.089,33.69,56.65,54,0.025,0.84,3,132,57,400,0.75,525,0.57,0.096,3.9,2.18,4.4
Cheese,"Cheese, Brie",14103020,0,9,0,0.45,100,15.4,0,0,0,0.38,20.75,173,0.52,14.5,0.45,0.07,48.42,8.013,0.826,17.41,27.68,184,0.019,0.5,20,188,152,629,2.38,174,1.65,0.235,0,0.24,2.3
Cheese,"Cheese, American, reduced sodium",14410210,0,81,0,1.6,94,36.2,0,0,0,0.07,22.2,247,0.35,12.7,0.45,0.03,42.8,8.932,0.988,19.651,31.19,616,0.03,0.39,22,745,162,7,2.99,254,0.7,0.07,0,0.27,2.6
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with meat, no added fat",32130270,0,0,8,0.83,333,213.6,0,436,0,0.932,13.6,141,0.406,30.6,0.44,0.069,73.34,4.153,2.081,3.467,10.57,51,0.074,1.67,13,204,167,367,1.42,141,0.72,0.187,0,0.98,0.3
Sardines,"Sardines, skinless, boneless, packed in water",26139190,0,26,0,0.54,61,76,0.1,2,1398,4.2,20.86,32,0.233,40.6,0.43,0.044,66.86,4.818,2.111,2.684,10.45,240,0.272,2.3,34,366,341,414,1.4,34,9,0.123,1,1.38,0.4
Sardines with tomato-based sauce,Sardines with tomato-based sauce,27150350,0,26,0,0.54,61,76,0.1,2,1398,4.2,20.86,32,0.233,40.6,0.43,0.044,66.86,4.818,2.111,2.684,10.45,240,0.272,2.3,34,366,341,414,1.4,34,9,0.123,1,1.38,0.4
Sardines with mustard sauce,Sardines with mustard sauce,27150370,0,26,0,0.54,61,76,0.1,2,1398,4.2,20.86,32,0.233,40.6,0.43,0.044,66.86,4.818,2.111,2.684,10.45,240,0.272,2.3,34,366,341,414,1.4,34,9,0.123,1,1.38,0.4
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with meat, made with cooking spray",32130260,0,0,8,1,330,211.7,0,433,0,0.924,13.49,139,0.403,30.3,0.43,0.069,72.72,4.546,2.254,3.481,11.16,50,0.074,1.65,13,202,166,365,1.41,139,0.71,0.186,0,0.97,0.3
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with meat, made with butter",32130220,0,9,7,0.79,326,202.4,0,411,0,0.881,12.87,171,0.385,28.9,0.42,0.065,70.07,5.119,2.136,6.209,14.61,49,0.07,1.57,13,193,159,383,1.34,172,0.69,0.177,0,1.06,0.7
Collards,"Collards, canned, cooked, no added fat",72107213,0,3545,0,2.79,0,0.3,1.3,6539,0,0.357,1.35,0,0.06,0.7,0.42,0.01,93.94,0.02,0.119,0.069,0.3,117,0.082,1.5,20,21,140,336,0.23,296,0,0.04,14.6,1.46,284.7
Greens,"Greens, canned, cooked, no added fat",72118213,0,3545,0,2.79,0,0.3,1.3,6539,0,0.357,1.35,0,0.06,0.7,0.42,0.01,93.94,0.02,0.119,0.069,0.3,117,0.082,1.5,20,21,140,336,0.23,296,0,0.04,14.6,1.46,284.7
Kale,"Kale, canned, cooked, no added fat",72119213,0,3545,0,2.79,0,0.3,1.3,6539,0,0.357,1.35,0,0.06,0.7,0.42,0.01,93.94,0.02,0.119,0.069,0.3,117,0.082,1.5,20,21,140,336,0.23,296,0,0.04,14.6,1.46,284.7
Mustard greens,"Mustard greens, canned, cooked, no added fat",72122213,0,3545,0,2.79,0,0.3,1.3,6539,0,0.357,1.35,0,0.06,0.7,0.42,0.01,93.94,0.02,0.119,0.069,0.3,117,0.082,1.5,20,21,140,336,0.23,296,0,0.04,14.6,1.46,284.7
Spinach,"Spinach, raw",72125100,0,5626,0,3.63,0,19.3,2.2,12198,0,0.724,2.86,0,0.189,1,0.42,0.078,91.4,0.01,0.165,0.063,0.39,99,0.13,2.71,79,49,558,79,0.53,469,0,0.195,28.1,2.03,482.9
Turnip greens,"Turnip greens, canned, cooked, no added fat",72128213,0,3545,0,2.79,0,0.3,1.3,6539,0,0.357,1.35,0,0.06,0.7,0.42,0.01,93.94,0.02,0.119,0.069,0.3,117,0.082,1.5,20,21,140,336,0.23,296,0,0.04,14.6,1.46,284.7
Turnip greens,"Turnip greens, canned, reduced sodium, cooked, no added fat",72128237,0,3573,0,2.81,0,0.3,1.3,6591,0,0.36,1.36,0,0.06,0.7,0.42,0.01,94.69,0.02,0.12,0.07,0.3,118,0.083,1.51,20,21,141,29,0.23,298,0,0.04,14.7,1.47,287
Spinach,"Spinach, for use on a sandwich",89902060,0,5626,0,3.63,0,19.3,2.2,12198,0,0.724,2.86,0,0.189,1,0.42,0.078,91.4,0.01,0.165,0.063,0.39,99,0.13,2.71,79,49,558,79,0.53,469,0,0.195,28.1,2.03,482.9
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with meat, NS as to fat",32130190,0,10,7,0.8,317,201.8,0,411,0,0.88,12.84,153,0.384,28.9,0.41,0.065,69.8,5.753,3.49,4.69,14.97,48,0.07,1.58,13,193,159,365,1.34,154,0.68,0.209,0,1.51,5
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with meat, made with margarine",32130200,0,35,7,0.83,314,201.9,0,411,0,0.88,12.83,176,0.385,28.8,0.41,0.066,71,5.302,3.446,4.005,13.69,49,0.07,1.57,13,193,159,386,1.34,179,0.68,0.338,0,1.96,6
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with meat, made with oil",32130210,0,0,7,0.79,314,201.3,0,411,0,0.879,12.82,133,0.383,28.8,0.41,0.065,69.15,6.313,4.32,4.052,15.69,48,0.07,1.58,12,192,158,346,1.34,133,0.68,0.176,0,1.6,7.1
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with meat, made with animal fat or meat drippings",32130240,0,0,7,0.79,319,204.4,0,411,0,0.897,12.95,133,0.384,29,0.41,0.066,69.37,6.277,2.537,5.305,15.24,48,0.07,1.58,13,193,159,381,1.36,133,0.69,0.178,0,0.96,0.4
Egg omelet or scrambled egg,"Egg omelet or scrambled egg, with meat, NS as to fat type",32130265,0,10,7,0.8,317,201.8,0,411,0,0.88,12.84,153,0.384,28.9,0.41,0.065,69.8,5.753,3.49,4.69,14.97,48,0.07,1.58,13,193,159,365,1.34,154,0.68,0.209,0,1.51,5
Corn chips,"Corn chips, reduced sodium",54401090,8,23,23,56.75,0,14,3.9,452,0,0.604,6.84,0,0.129,9.1,0.41,0.094,1.12,9.265,17.296,4.396,33.63,126,0.091,1.16,70,206,164,295,1.08,3,0,0.149,0.1,7.03,10.2
Wheat bran,"Wheat bran, unprocessed",57601100,0,6,0,64.51,0,74.4,42.8,240,0,13.578,15.55,0,0.577,77.6,0.41,0.523,9.89,0.637,2.212,0.63,4.25,73,0.998,10.57,611,1013,1182,2,7.27,0,0,1.303,0,1.49,1.9
Collards,"Collards, canned, cooked with butter or margarine",72107234,0,3452,0,2.72,4,0.7,1.3,6350,0,0.348,1.33,21,0.059,0.7,0.41,0.01,91.88,0.664,0.468,1.107,2.45,115,0.08,1.46,19,21,137,345,0.22,308,0,0.071,14.2,1.67,277.8
Turnip greens,"Turnip greens, canned, reduced sodium, cooked, fat added",72128238,0,3474,0,2.73,2,0.5,1.3,6399,0,0.35,1.33,10,0.059,0.7,0.41,0.01,92.26,0.954,0.894,0.791,2.84,115,0.081,1.47,19,21,137,38,0.22,300,0,0.055,14.3,1.72,281
Quail egg,"Quail egg, canned",31203000,0,11,10,0.41,841,210.1,0,368,0,0.135,13.01,155,0.748,31.9,0.4,0.104,74.13,4.311,1.32,3.546,11.06,64,0.062,3.64,13,225,132,256,1.47,156,1.26,0.142,0,1.08,0.3
Soy sauce,Soy sauce,41420300,0,0,0,4.93,0,18.3,0.8,0,0,2.196,8.14,0,0.165,0.5,0.4,0.033,71.15,0.088,0.263,0.073,0.57,33,0.043,1.45,74,166,435,5493,0.87,0,0,0.148,0,0,0
Spanakopitta,Spanakopitta,58124250,0,2256,1,10.5,77,42.5,1.3,4916,0,0.974,7.51,98,0.32,12,0.4,0.114,64.42,5.798,1.12,7.167,15.26,163,0.09,2.02,42,132,300,405,1.07,286,0.25,0.149,8.8,1.69,212.6
Collards,"Collards, canned, cooked, fat added, NS as to fat type",72107223,0,3447,0,2.71,2,0.5,1.3,6350,0,0.347,1.32,10,0.058,0.7,0.4,0.01,91.55,0.947,0.887,0.785,2.81,114,0.08,1.46,19,21,136,336,0.22,298,0,0.055,14.2,1.71,278.8
Collards,"Collards, canned, cooked with oil",72107233,0,3442,0,2.71,0,0.3,1.3,6350,0,0.347,1.31,0,0.058,0.7,0.4,0.01,91.23,1.23,1.306,0.463,3.18,114,0.08,1.46,19,20,136,326,0.22,287,0,0.039,14.2,1.76,279.9
Greens,"Greens, canned, cooked, fat added",72118223,0,3447,0,2.71,2,0.5,1.3,6350,0,0.347,1.32,10,0.058,0.7,0.4,0.01,91.55,0.947,0.887,0.785,2.81,114,0.08,1.46,19,21,136,336,0.22,298,0,0.055,14.2,1.71,278.8
Kale,"Kale, canned, cooked, fat added",72119223,0,3447,0,2.71,2,0.5,1.3,6350,0,0.347,1.32,10,0.058,0.7,0.4,0.01,91.55,0.947,0.887,0.785,2.81,114,0.08,1.46,19,21,136,336,0.22,298,0,0.055,14.2,1.71,278.8
Mustard greens,"Mustard greens, canned, cooked, fat added",72122223,0,3447,0,2.71,2,0.5,1.3,6350,0,0.347,1.32,10,0.058,0.7,0.4,0.01,91.55,0.947,0.887,0.785,2.81,114,0.08,1.46,19,21,136,336,0.22,298,0,0.055,14.2,1.71,278.8
Spinach,"Spinach, canned, cooked, no added fat",72125213,0,5881,0,3.4,0,18.4,2.4,10575,0,0.388,2.81,0,0.138,1.4,0.4,0.016,91.78,0.013,0.211,0.081,0.5,127,0.18,2.3,76,44,346,322,0.46,490,0,0.1,13.6,1.94,461.6
Turnip greens,"Turnip greens, canned, cooked, fat added",72128223,0,3447,0,2.71,2,0.5,1.3,6350,0,0.347,1.32,10,0.058,0.7,0.4,0.01,91.55,0.947,0.887,0.785,2.81,114,0.08,1.46,19,21,136,336,0.22,298,0,0.055,14.2,1.71,278.8
Oyster fritter,Oyster fritter,27250220,0,1,1,5.22,82,88.8,0.2,52,0,1.056,6.93,80,0.173,30.2,0.39,0.125,69.57,4.547,7.809,2.793,16.22,45,3.28,5.24,42,129,193,420,66.7,80,11.99,0.086,3.1,1.68,24.3
Spinach,"Spinach, canned, cooked, fat added, NS as to fat type",72125223,0,5715,0,3.31,2,18.1,2.3,10267,0,0.377,2.74,10,0.134,1.4,0.39,0.016,89.44,0.947,0.982,0.802,3.03,124,0.175,2.24,74,43,336,322,0.45,486,0,0.114,13.2,2.18,450.5
Spinach,"Spinach, canned, cooked with oil",72125227,0,5710,0,3.3,0,17.9,2.3,10267,0,0.377,2.73,0,0.134,1.4,0.39,0.016,89.11,1.232,1.405,0.477,3.4,123,0.175,2.24,74,43,336,313,0.45,476,0,0.097,13.2,2.22,451.6
Spinach,"Spinach, canned, cooked with butter or margarine",72125228,0,5720,0,3.31,4,18.3,2.3,10267,0,0.378,2.74,21,0.135,1.4,0.39,0.016,89.77,0.662,0.56,1.126,2.66,124,0.175,2.23,74,43,337,332,0.45,497,0,0.13,13.2,2.13,449.4
Broccoli raab,"Broccoli raab, raw",72103000,0,1573,0,2.85,0,18.3,2.7,1121,0,1.221,3.17,0,0.129,1,0.38,0.162,92.55,0.044,0.218,0.083,0.49,108,0.042,2.14,22,73,196,33,0.77,131,0,0.171,20.2,1.62,224
Broccoli raab,"Broccoli raab, cooked",72103030,0,1512,0,2.88,2,18.7,2.7,1074,0,1.17,3.2,11,0.124,1,0.38,0.147,89.5,1.015,1.027,0.835,3.14,109,0.042,2.16,22,74,198,160,0.78,137,0,0.181,14.3,1.94,228.3
Egg,"Egg, whole, raw",31101010,0,0,9,0.72,372,293.8,0,503,0,0.075,12.56,160,0.457,30.7,0.37,0.04,76.15,3.658,1.911,3.126,9.51,56,0.072,1.75,12,198,138,142,1.29,160,0.89,0.17,0,1.05,0.3
Egg,"Egg, whole, boiled or poached",31103010,0,0,9,0.72,372,235,0,503,0,0.068,12.56,160,0.434,30.7,0.37,0.032,76.15,3.658,1.911,3.126,9.51,56,0.072,1.75,12,198,138,142,1.29,160,0.71,0.162,0,1.05,0.3
Egg,"Egg, whole, fried no added fat",31105010,0,0,9,0.72,371,234.3,0,501,0,0.067,12.52,160,0.433,30.6,0.37,0.032,75.92,3.647,1.905,3.117,9.48,56,0.072,1.74,12,197,138,257,1.29,160,0.71,0.161,0,1.05,0.3
Egg,"Egg, whole, baked, no added fat",31106010,0,0,9,0.72,371,234.3,0,501,0,0.067,12.52,160,0.433,30.6,0.37,0.032,75.92,3.647,1.905,3.117,9.48,56,0.072,1.74,12,197,138,257,1.29,160,0.71,0.161,0,1.05,0.3
