Category,Description,Nutrient_Bank_Number,Alpha_Carotene,Beta_Carotene,Beta_Cryptoxanthin,Carbohydrate,Cholesterol,Choline,Fiber,Lutein_and_Zeaxanthin,Lycopene,Niacin,Protein,Retinol,Riboflavin,Selenium,Sugar_Total,Thiamin,Water,Fat_Monosaturated_Fat,Fat_Polysaturated_Fat,Fat_Saturated_Fat,Fat_Total_Lipid,Major_Minerals_Calcium,Major_Minerals_Copper,Major_Minerals_Iron,Major_Minerals_Magnesium,Major_Minerals_Phosphorus,Major_Minerals_Potassium,Major_Minerals_Sodium,Major_Minerals_Zinc,Vitamins_Vitamin_A__RAE,Vitamins_Vitamin_B12,Vitamins_Vitamin_B6,Vitamins_Vitamin_C,Vitamins_Vitamin_E,Vitamins_Vitamin_K
Yogurt covered fruit snacks candy,"Yogurt covered fruit snacks candy, with added vitamin C",91708150,0,0,0,86.9,3,57.8,0.2,2,0,0.173,0,1,0.343,6,65,0.079,3.73,0.983,3.886,1.389,7.5,500,0.021,0.19,23,190,338,75,0.86,1,0.76,0.069,180,0.6,13.5
Raisins,"Raisins, yogurt covered",91739600,0,0,0,72.86,0,16.9,2.6,0,0,0.509,4.38,0,0.182,2.3,64,0.088,9.77,0.235,0.251,10.178,11.48,122,0.161,1.1,28,123,553,52,0.5,0,0.27,0.124,1.5,0.54,6
Rolo,Rolo,91703070,0,0,0,67.95,12,20.1,0.9,0,0,0.04,5.08,33,0.12,0,63.93,0.02,4.6,2.104,0.265,14.542,20.93,145,0,0.42,0,71,188,188,0,33,0.33,0,0.9,1.1,3.2
Sugar-coated chocolate discs,Sugar-coated chocolate discs,91746010,0,0,0,71.19,14,21.7,2.8,0,0,0.27,4.33,56,0.213,3.3,63.68,0.079,1.7,5.183,0.921,13.08,21.13,105,0.344,1.11,44,146,261,61,1.61,56,0.53,0.025,0.5,0.36,4
M&M's Milk Chocolate Candies,M&M's Milk Chocolate Candies,91746100,0,0,0,71.19,14,21.7,2.8,0,0,0.27,4.33,56,0.213,3.3,63.68,0.079,1.7,5.183,0.921,13.08,21.13,105,0.344,1.11,44,146,261,61,1.61,56,0.53,0.025,0.5,0.36,4
Sixlets,Sixlets,91746120,0,0,0,71.19,14,21.7,2.8,0,0,0.27,4.33,56,0.213,3.3,63.68,0.079,1.7,5.183,0.921,13.08,21.13,105,0.344,1.11,44,146,261,61,1.61,56,0.53,0.025,0.5,0.36,4
Easter egg,"Easter egg, candy coated chocolate",91746150,0,0,0,71.19,14,21.7,2.8,0,0,0.27,4.33,56,0.213,3.3,63.68,0.079,1.7,5.183,0.921,13.08,21.13,105,0.344,1.11,44,146,261,61,1.61,56,0.53,0.025,0.5,0.36,4
Fudge,"Fudge, chocolate, with nuts",91713040,0,10,0,68.15,12,14.6,2.5,5,0,0.315,4.38,37,0.095,2.9,63.37,0.067,7.66,3.9,7.529,6.489,18.93,57,0.526,1.97,55,114,183,39,1.43,38,0.07,0.088,0.2,0.26,1.6
Date,Date,62110100,0,6,0,75.03,0,6.3,8,75,0,1.274,2.45,0,0.066,3,63.35,0.052,20.53,0.036,0.019,0.032,0.39,39,0.206,1.02,43,62,656,2,0.29,0,0,0.165,0.4,0.05,2.7
Icing,"Icing, white",91305020,0,0,0,67.89,0,2.3,0,0,0,0.22,0,0,0.302,0.1,63.1,0.01,15.07,4.86,7.951,2.974,16.23,3,0,0.16,1,18,34,184,0.07,0,0,0,0,1.53,13
